"identifier","title","author","recipient","date created","creator","description","imageurl1","imageurl2","imageurl3","archive","archive location","publisher","rights","tags","provenance","bibcite"
"10Mar2008-000000 DSCN5264 whipper texas.JPG","Ionia R. Whipper, Austin, Texas, Weekly report for weeks ending May 19 & 26, 1928","Ionia R. Whipper, Prairie View, Texas",,"May 27, 1928","Ionia R. Whipper, Prairie View, Texas","Report for weeks ending May 19 & 26; midwife training in Travis County, Washington County, & Weller County, Texas.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5264%20whipper%20texas.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5265%20whipper%20texas.JPG",,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas, Weekly report for weeks ending May 19 & 26, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5266.JPG","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, May 26, 1928","Blanche M. Haines","Ionia R. Whipper, Brenham, Texas","May 26, 1928","Blanche M. Haines","Discusses IRW's work in Delaware and Texas & her three weeks of annual leave.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5266.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, May 26, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5267 whipper texas.JPG","Ionia R. Whipper, Prairie View, Texas to Blanche M. Haines, May 19, 1928","Ionia R. Whipper, Prairie View, Texas","Blanche M. Haines","May 19, 1928","Ionia R. Whipper, Prairie View, Texas","IRW requests 3 weeks of leave; mentions future plans; thanks Haines for “looking out for me after June 30/29” [when Sheppard-Towner funding ends].","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5267%20whipper%20texas.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Prairie View, Texas to Blanche M. Haines, May 19, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5268 whipper haines delaware texas.JPG","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, May 15, 1928","Blanche M. Haines","Ionia R. Whipper, Brenham, Texas","May 15, 1928","Blanche M. Haines","Long letter about birth registration situation in Texas and Delaware. Mentions possible work for IRW in Virginia; Haines's plans for summer business travel.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5268%20whipper%20haines%20delaware%20texas.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, May 15, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5270 whipper texas.JPG","Ionia R. Whipper, Brenham, Texas to Blanche M. Haines, May 10, 1928","Ionia R. Whipper, Brenham, Texas","Blanche M. Haines","May 10, 1928","Ionia R. Whipper, Brenham, Texas","Discusses midwife training in Texas & difficulty of requiring birth registration there.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5270%20whipper%20texas.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5269%20whipper%20haines%20delaware%20texas.JPG",,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Brenham, Texas to Blanche M. Haines, May 10, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5271.JPG","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, May 3, 1928","Blanche M. Haines","Ionia R. Whipper, Brenham, Texas","May 3, 1928","Blanche M. Haines","Texas; Delaware","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5271.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, May 3, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5272 whipper texas report.JPG","Ionia R. Whipper, Austin, Texas, Weekly report for weeks ending April 21 and 29, 1928","Ionia R. Whipper, Brenham, Texas",,"April 30, 1928","Ionia R. Whipper, Brenham, Texas","Work in Austin and Brenham, Texas.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5272%20whipper%20texas%20report.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas, Weekly report for weeks ending April 21 and 29, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5274.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, April 21, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","April 21, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5274.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, April 21, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5275 whipper texas report.JPG","Ionia R. Whipper, Austin, Texas, Report for March 21 through April 14, 1928","Ionia R. Whipper, Austin, Texas",,"April 15, 1928","Ionia R. Whipper, Austin, Texas","Work in Austin, Texas, locating midwives.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5275%20whipper%20texas%20report.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas, Report for March 21 through April 14, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5276 haines whipper texas.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, April 17, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","April 17, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5276%20haines%20whipper%20texas.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, April 17, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5277 whipper texas report.JPG","Ionia R. Whipper, Austin, Texas, Weekly report for weeks ending March 17 and 24, 1928","Ionia R. Whipper, Austin, Texas",,"March 25, 1928","Ionia R. Whipper, Austin, Texas","Work in Austin, Pflugerville, and Manor, Texas.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5277%20whipper%20texas%20report.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas, Weekly report for weeks ending March 17 and 24, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5279.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, March 21, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","March 21, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5279.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5278.JPG",,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, March 21, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5280.JPG","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, March 18, 1928","Ionia R. Whipper, Austin, Texas","Blanche M. Haines","March 18, 1928","Ionia R. Whipper, Austin, Texas",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5280.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, March 18, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5281.JPG","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, March 21, 1928","Blanche M. Haines","Ionia R. Whipper, Austin, Texas","March 21, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5281.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Austin, Texas, March 21, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5282 whipper texas.JPG","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, March 18, 1928","Ionia R. Whipper, Austin, Texas","Blanche M. Haines","March 18, 1928","Ionia R. Whipper, Austin, Texas","IRW mentions that even if she can get Pullman accommodations, “it is not safe to use it.” [Jim Crow train travel.]","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5282%20whipper%20texas.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas to Blanche M. Haines, March 18, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5283.JPG","Blanche M. Haines to Ionia R. Whipper, Atlanta, Georgia, March 16, 1928","Blanche M. Haines","Ionia R. Whipper, Atlanta, Georgia","March 16, 1928","Blanche M. Haines",,"http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5283.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Atlanta, Georgia, March 16, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5284.JPG","Ionia R. Whipper, Austin, Texas, Report for weeks ending March 3 and 10, 1928.","Ionia R. Whipper, Austin, Texas",,"March 11, 1928","Ionia R. Whipper, Austin, Texas","“The birth registration is coming in splendidly” in Austin, Texas.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5284.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Austin, Texas, Report for weeks ending March 3 and 10, 1928., File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
